State,District,Headquarters,Population,Area (sq km),Density,Code,Alternate Name
Andhra Pradesh,Anantapur,Anantapur,"4,083,315","19,130",213,AP01,Anantapur
Andhra Pradesh,Chittoor,Chittoor,"4,170,468","15,152",275,AP02,Chittoor
Andhra Pradesh,East Godavari,Kakinada,"5,151,549","10,807",477,AP03,East Godavari
Andhra Pradesh,Guntur,Guntur,"4,889,230","11,391",429,AP04,Guntur
Andhra Pradesh,YSR,Kadapa,"2,884,524","15,359",188,AP13,YSR
Andhra Pradesh,Krishna,Machilipatnam,"4,529,009","8,727",519,AP05,Krishna
Andhra Pradesh,Kurnool,Kurnool,"4,046,601","17,658",229,AP06,Kurnool
Andhra Pradesh,Prakasam,Ongole,"3,392,764","17,626",192,AP07,Prakasam
Andhra Pradesh,Sri Potti Sriramulu Nellore,Nellore,"2,966,082","13,076",227,AP08,Spsr Nellore
Andhra Pradesh,Srikakulam,Srikakulam,"2,699,471","5,837",462,AP09,Srikakulam
Andhra Pradesh,Visakhapatnam,Visakhapatnam,"4,288,113","11,161",384,AP10,Visakhapatnam
Andhra Pradesh,Vizianagaram,Vizianagaram,"2,342,868","6,539",358,AP11,Vizianagaram
Andhra Pradesh,West Godavari,Eluru,"3,934,782","7,742",490,AP12,West Godavari
Arunachal Pradesh,Anjaw,Hawai,"21,089","6,190",3,AR01,Anjaw
Arunachal Pradesh,Changlang,Changlang,"147,951","4,662",32,AR02,Changlang
Arunachal Pradesh,East Kameng,Seppa,"78,413","4,134",19,AR03,East Kameng
Arunachal Pradesh,East Siang,Pasighat,"99,019","3,603",27,AR04,East Siang
Arunachal Pradesh,Kamle,Raga,"22,256",200,111,AR05,Kamle
Arunachal Pradesh,Kra Daadi,Jamin,,,,AR06,Kra Daadi
Arunachal Pradesh,Kurung Kumey,Koloriang,"89,717","6,040",15,AR07,Kurung Kumey
Arunachal Pradesh,Lepa Rada,Basar,,,,AR08,Lepa Rada
Arunachal Pradesh,Lohit,Tezu,"145,538","2,402",61,AR09,Lohit
Arunachal Pradesh,Longding,Longding,"60,000","1,200",50,AR10,Longding
Arunachal Pradesh,Lower Dibang Valley,Roing,"53,986","3,900",14,AR11,Lower Dibang Valley
Arunachal Pradesh,Lower Siang,Likabali,,,,AR12,Lower Siang
Arunachal Pradesh,Lower Subansiri,Ziro,"82,839","3,508",24,AR13,Lower Subansiri
Arunachal Pradesh,Namsai,Namsai,"95,950","1,587",60,AR14,Namsai
Arunachal Pradesh,Pakke-Kessang,Lemmi,,,,AR15,Pakke Kessang
Arunachal Pradesh,Papum Pare,Yupia,"176,385","2,875",61,AR16,Papum Pare
Arunachal Pradesh,Shi Yomi,Tato,"13,310","2,875",5,AR17,Shi Yomi
Arunachal Pradesh,Siang,Pangin,"31,920","2,919",11,AR18,Siang
Arunachal Pradesh,Tawang,Tawang,"49,950","2,085",24,AR19,Tawang
Arunachal Pradesh,Tirap,Khonsa,"111,997","2,362",47,AR20,Tirap
Arunachal Pradesh,Upper Dibang Valley,Anini,"7,948","9,129",1,AR21,Dibang Valley
Arunachal Pradesh,Upper Siang,Yingkiong,"35,289","6,188",6,AR22,Upper Siang
Arunachal Pradesh,Upper Subansiri,Daporijo,"83,205","7,032",12,AR23,Upper Subansiri
Arunachal Pradesh,West Kameng,Bomdila,"87,013","7,422",12,AR24,West Kameng
Arunachal Pradesh,West Siang,Along,"112,272","8,325",13,AR25,West Siang
Assam,Baksa,Mushalpur,"953,773","2,008",475,AS02,Baksa
Assam,Bajali,Pathsala,"253,816",,,AS01,Bajali
Assam,Barpeta,Barpeta,"1,693,622","3,245",520,AS03,Barpeta
Assam,Bishwanath,Biswanath Chariali,"612,491","1,100",560,AS04,Biswanath
Assam,Bongaigaon,Bongaigaon,"732,639","1,724",425,AS05,Bongaigaon
Assam,Cachar,Silchar,"1,736,319","3,786",459,AS06,Cachar
Assam,Charaideo,Sonari,"471,418","1,069",440,AS07,Charaideo
Assam,Chirang,Kajalgaon,"481,818","1,975",244,AS08,Chirang
Assam,Darrang,Mangaldoi,"908,090","1,849",491,AS09,Darrang
Assam,Dhemaji,Dhemaji,"688,077","3,237",213,AS10,Dhemaji
Assam,Dhubri,Dhubri,"1,948,632","2,838",687,AS11,Dhubri
Assam,Dibrugarh,Dibrugarh,"1,327,748","3,381",393,AS12,Dibrugarh
Assam,Dima Hasao,Haflong,"213,529","4,888",44,AS13,Dima Hasao
Assam,Goalpara,Goalpara,"1,008,959","1,824",553,AS14,Goalpara
