State,Year,Quarter,District,Code,Transactions,Amount (INR),ATV (INR),Registered Users,App Opens
Andaman & Nicobar Islands,2018,1,Nicobars,AN01,528,"1,139,849","2,159",262,0
Andaman & Nicobar Islands,2018,1,North And Middle Andaman,AN02,442,"931,663","2,108",632,0
Andaman & Nicobar Islands,2018,1,South Andaman,AN03,"5,688","12,560,249","2,208","5,846",0
Andaman & Nicobar Islands,2018,2,Nicobars,AN01,"1,120","3,072,437","2,743",351,0
Andaman & Nicobar Islands,2018,2,North And Middle Andaman,AN02,825,"1,317,863","1,597",911,0
Andaman & Nicobar Islands,2018,2,South Andaman,AN03,"9,395","23,948,236","2,549","8,143",0
Andaman & Nicobar Islands,2018,3,Nicobars,AN01,"1,471","6,387,829","4,343",467,0
Andaman & Nicobar Islands,2018,3,North And Middle Andaman,AN02,"1,283","4,901,530","3,820","1,208",0
Andaman & Nicobar Islands,2018,3,South Andaman,AN03,"13,511","44,268,112","3,276","10,474",0
Andaman & Nicobar Islands,2018,4,Nicobars,AN01,"1,485","7,180,859","4,836",536,0
Andaman & Nicobar Islands,2018,4,North And Middle Andaman,AN02,"2,137","7,955,636","3,723","1,553",0
Andaman & Nicobar Islands,2018,4,South Andaman,AN03,"20,136","75,411,841","3,745","13,133",0
Andaman & Nicobar Islands,2019,1,Nicobars,AN01,"1,539","7,236,060","4,702",622,0
Andaman & Nicobar Islands,2019,1,North And Middle Andaman,AN02,"3,264","9,561,709","2,929","2,013",0
Andaman & Nicobar Islands,2019,1,South Andaman,AN03,"25,683","85,501,972","3,329","15,961",0
Andaman & Nicobar Islands,2019,2,Nicobars,AN01,"1,828","9,111,651","4,984",693,"2,953"
Andaman & Nicobar Islands,2019,2,North And Middle Andaman,AN02,"3,371","8,612,103","2,555","2,417","6,118"
Andaman & Nicobar Islands,2019,2,South Andaman,AN03,"28,490","102,530,956","3,599","18,621","43,569"
Andaman & Nicobar Islands,2019,3,Nicobars,AN01,"2,300","11,566,421","5,029",751,"10,853"
Andaman & Nicobar Islands,2019,3,North And Middle Andaman,AN02,"4,049","11,481,466","2,836","2,662","22,064"
Andaman & Nicobar Islands,2019,3,South Andaman,AN03,"27,421","91,023,888","3,319","20,518","138,190"
Andaman & Nicobar Islands,2019,4,Nicobars,AN01,"2,600","12,384,162","4,763",803,"11,113"
Andaman & Nicobar Islands,2019,4,North And Middle Andaman,AN02,"4,716","13,524,057","2,868","2,955","26,253"
Andaman & Nicobar Islands,2019,4,South Andaman,AN03,"27,843","110,930,312","3,984","22,202","139,646"
Andaman & Nicobar Islands,2020,1,Nicobars,AN01,"2,911","12,099,544","4,156",879,"11,613"
Andaman & Nicobar Islands,2020,1,North And Middle Andaman,AN02,"5,674","14,697,372","2,590","3,315","30,444"
Andaman & Nicobar Islands,2020,1,South Andaman,AN03,"32,713","134,679,397","4,117","24,174","151,529"
Andaman & Nicobar Islands,2020,2,Nicobars,AN01,"3,895","14,341,509","3,682",984,"17,009"
Andaman & Nicobar Islands,2020,2,North And Middle Andaman,AN02,"10,979","22,447,714","2,045","4,100","56,992"
Andaman & Nicobar Islands,2020,2,South Andaman,AN03,"48,088","132,855,779","2,763","27,626","231,071"
Andaman & Nicobar Islands,2020,3,Nicobars,AN01,"5,413","22,166,454","4,095","1,147","21,227"
Andaman & Nicobar Islands,2020,3,North And Middle Andaman,AN02,"16,747","33,486,883","2,000","5,355","76,553"
Andaman & Nicobar Islands,2020,3,South Andaman,AN03,"95,323","282,366,109","2,962","34,833","417,785"
Andaman & Nicobar Islands,2020,4,Nicobars,AN01,"8,688","35,218,871","4,054","1,412","35,972"
Andaman & Nicobar Islands,2020,4,North And Middle Andaman,AN02,"29,349","68,941,322","2,349","7,076","125,915"
Andaman & Nicobar Islands,2020,4,South Andaman,AN03,"186,494","523,122,463","2,805","43,908","725,321"
Andaman & Nicobar Islands,2021,1,Nicobars,AN01,"10,302","39,075,267","3,793","1,573","45,067"
Andaman & Nicobar Islands,2021,1,North And Middle Andaman,AN02,"27,358","75,027,255","2,742","7,833","121,680"
Andaman & Nicobar Islands,2021,1,South Andaman,AN03,"207,092","669,604,045","3,233","48,352","837,589"
Andaman & Nicobar Islands,2021,2,Nicobars,AN01,"15,307","48,020,607","3,137","1,699","381,815"
Andaman & Nicobar Islands,2021,2,North And Middle Andaman,AN02,"39,200","90,233,389","2,302","8,493","596,182"
Andaman & Nicobar Islands,2021,2,South Andaman,AN03,"286,907","760,893,021","2,652","51,903","1,270,226"
Andhra Pradesh,2018,1,Anantapur,AP01,"638,664","788,830,646","1,235","241,192",0
