State,Year,Quarter,Brand,Registered Users,Percentage
Andaman & Nicobar Islands,2018,1,Xiaomi,"1,665",25%
Andaman & Nicobar Islands,2018,1,Samsung,"1,445",21%
Andaman & Nicobar Islands,2018,1,Vivo,982,15%
Andaman & Nicobar Islands,2018,1,Oppo,501,7%
Andaman & Nicobar Islands,2018,1,OnePlus,332,5%
Andaman & Nicobar Islands,2018,1,Realme,316,5%
Andaman & Nicobar Islands,2018,1,Apple,229,3%
Andaman & Nicobar Islands,2018,1,Motorola,226,3%
Andaman & Nicobar Islands,2018,1,Lenovo,202,3%
Andaman & Nicobar Islands,2018,1,Huawei,158,2%
Andaman & Nicobar Islands,2018,1,Others,684,10%
Andaman & Nicobar Islands,2018,2,Xiaomi,"2,303",24%
Andaman & Nicobar Islands,2018,2,Samsung,"1,923",20%
Andaman & Nicobar Islands,2018,2,Vivo,"1,523",16%
Andaman & Nicobar Islands,2018,2,Oppo,708,8%
Andaman & Nicobar Islands,2018,2,OnePlus,466,5%
Andaman & Nicobar Islands,2018,2,Realme,465,5%
Andaman & Nicobar Islands,2018,2,Motorola,319,3%
Andaman & Nicobar Islands,2018,2,Apple,308,3%
Andaman & Nicobar Islands,2018,2,Lenovo,244,3%
Andaman & Nicobar Islands,2018,2,Huawei,230,2%
Andaman & Nicobar Islands,2018,2,Others,916,10%
Andaman & Nicobar Islands,2018,3,Xiaomi,"2,950",24%
Andaman & Nicobar Islands,2018,3,Samsung,"2,409",20%
Andaman & Nicobar Islands,2018,3,Vivo,"2,063",17%
Andaman & Nicobar Islands,2018,3,Oppo,988,8%
Andaman & Nicobar Islands,2018,3,OnePlus,617,5%
Andaman & Nicobar Islands,2018,3,Realme,603,5%
Andaman & Nicobar Islands,2018,3,Motorola,390,3%
Andaman & Nicobar Islands,2018,3,Apple,371,3%
Andaman & Nicobar Islands,2018,3,Huawei,314,3%
Andaman & Nicobar Islands,2018,3,Lenovo,299,2%
Andaman & Nicobar Islands,2018,3,Others,"1,145",9%
Andaman & Nicobar Islands,2018,4,Xiaomi,"3,719",24%
Andaman & Nicobar Islands,2018,4,Samsung,"2,936",19%
Andaman & Nicobar Islands,2018,4,Vivo,"2,742",18%
Andaman & Nicobar Islands,2018,4,Oppo,"1,268",8%
Andaman & Nicobar Islands,2018,4,Realme,760,5%
Andaman & Nicobar Islands,2018,4,OnePlus,721,5%
Andaman & Nicobar Islands,2018,4,Motorola,474,3%
Andaman & Nicobar Islands,2018,4,Apple,455,3%
Andaman & Nicobar Islands,2018,4,Huawei,398,3%
Andaman & Nicobar Islands,2018,4,Lenovo,377,2%
Andaman & Nicobar Islands,2018,4,Others,"1,372",9%
Andaman & Nicobar Islands,2019,1,Xiaomi,"4,576",25%
Andaman & Nicobar Islands,2019,1,Samsung,"3,567",19%
Andaman & Nicobar Islands,2019,1,Vivo,"3,420",18%
Andaman & Nicobar Islands,2019,1,Oppo,"1,600",9%
Andaman & Nicobar Islands,2019,1,Realme,897,5%
Andaman & Nicobar Islands,2019,1,OnePlus,855,5%
Andaman & Nicobar Islands,2019,1,Motorola,561,3%
Andaman & Nicobar Islands,2019,1,Apple,515,3%
