State,Year,Quarter,Transactions,Amount (INR),ATV (INR),Registered Users,App Opens
Andaman & Nicobar Islands,2018,1,"6,658","14,631,761","2,198","6,740",0
Andaman & Nicobar Islands,2018,2,"11,340","28,338,536","2,499","9,405",0
Andaman & Nicobar Islands,2018,3,"16,265","55,557,471","3,416","12,149",0
Andaman & Nicobar Islands,2018,4,"23,758","90,548,336","3,811","15,222",0
Andaman & Nicobar Islands,2019,1,"30,486","102,299,741","3,356","18,596",0
Andaman & Nicobar Islands,2019,2,"33,689","120,254,710","3,570","21,731","52,640"
Andaman & Nicobar Islands,2019,3,"33,770","114,071,776","3,378","23,931","171,107"
Andaman & Nicobar Islands,2019,4,"35,159","136,838,531","3,892","25,960","177,012"
Andaman & Nicobar Islands,2020,1,"41,298","161,476,312","3,910","28,368","193,586"
Andaman & Nicobar Islands,2020,2,"62,962","169,645,001","2,694","32,710","305,072"
Andaman & Nicobar Islands,2020,3,"117,483","338,019,446","2,877","41,335","515,565"
Andaman & Nicobar Islands,2020,4,"224,531","627,282,656","2,794","52,396","887,208"
Andaman & Nicobar Islands,2021,1,"244,752","783,706,567","3,202","57,758","1,004,336"
Andaman & Nicobar Islands,2021,2,"341,414","899,147,016","2,634","62,095","2,248,223"
Andhra Pradesh,2018,1,"9,039,585","11,996,276,392","1,327","3,336,450",0
Andhra Pradesh,2018,2,"12,353,918","22,883,914,273","1,852","4,402,540",0
Andhra Pradesh,2018,3,"25,626,061","35,718,044,599","1,394","5,427,617",0
Andhra Pradesh,2018,4,"30,759,548","51,473,779,407","1,673","6,857,409",0
Andhra Pradesh,2019,1,"57,264,522","83,760,595,917","1,463","8,283,019",0
Andhra Pradesh,2019,2,"56,409,015","113,634,518,758","2,014","9,389,003","81,375,251"
Andhra Pradesh,2019,3,"76,288,614","139,447,944,255","1,828","10,458,693","310,953,542"
Andhra Pradesh,2019,4,"107,218,103","200,948,315,489","1,874","11,757,883","411,201,518"
Andhra Pradesh,2020,1,"127,677,357","252,737,214,289","1,979","13,022,060","486,513,773"
Andhra Pradesh,2020,2,"144,917,855","302,583,689,747","2,088","14,319,675","494,341,698"
Andhra Pradesh,2020,3,"204,902,935","467,084,130,585","2,280","15,692,405","696,300,382"
Andhra Pradesh,2020,4,"286,118,552","654,841,546,033","2,289","17,076,565","869,078,538"
Andhra Pradesh,2021,1,"289,747,970",,0,"18,363,733","957,709,447"
Andhra Pradesh,2021,2,"352,767,134","850,737,499,108","2,412","19,620,905","1,044,705,436"
Arunachal Pradesh,2018,1,"45,497","92,387,336","2,031","21,495",0
Arunachal Pradesh,2018,2,"82,157","198,970,192","2,422","32,883",0
Arunachal Pradesh,2018,3,"131,146","331,726,407","2,529","45,922",0
Arunachal Pradesh,2018,4,"176,429","504,040,029","2,857","61,852",0
Arunachal Pradesh,2019,1,"226,506","609,950,106","2,693","76,957",0
Arunachal Pradesh,2019,2,"258,656","752,655,874","2,910","95,885","502,873"
Arunachal Pradesh,2019,3,"370,234","912,645,035","2,465","112,149","1,811,700"
Arunachal Pradesh,2019,4,"459,475","1,190,573,180","2,591","129,321","2,140,340"
Arunachal Pradesh,2020,1,"567,175","1,381,758,681","2,436","149,066","2,598,321"
Arunachal Pradesh,2020,2,"808,774","1,826,716,833","2,259","177,534","3,387,006"
Arunachal Pradesh,2020,3,"962,827","2,609,938,566","2,711","206,046","4,003,421"
Arunachal Pradesh,2020,4,"1,209,129","3,570,264,022","2,953","231,292","4,472,667"
Arunachal Pradesh,2021,1,"1,177,456","3,813,779,079","3,239","251,240","4,796,708"
Arunachal Pradesh,2021,2,"1,568,338","4,456,425,617","2,841","270,572","13,025,849"
Assam,2018,1,"1,056,881","1,157,804,456","1,095","385,237",0
Assam,2018,2,"1,663,873","2,350,585,136","1,413","571,046",0
