State,Year,Quarter,Transaction Type,Transactions,Amount (INR),ATV (INR)
Andaman & Nicobar Islands,2018,1,Recharge & bill payments,"4,200","1,845,307",439
Andaman & Nicobar Islands,2018,1,Peer-to-peer payments,"1,871","12,138,655","6,488"
Andaman & Nicobar Islands,2018,1,Merchant payments,298,"452,507","1,518"
Andaman & Nicobar Islands,2018,1,Financial Services,33,"10,601",321
Andaman & Nicobar Islands,2018,1,Others,256,"184,690",721
Andaman & Nicobar Islands,2018,2,Recharge & bill payments,"6,735","2,320,945",345
Andaman & Nicobar Islands,2018,2,Peer-to-peer payments,"3,575","24,511,925","6,856"
Andaman & Nicobar Islands,2018,2,Merchant payments,603,"1,024,491","1,699"
Andaman & Nicobar Islands,2018,2,Financial Services,59,"121,336","2,057"
Andaman & Nicobar Islands,2018,2,Others,368,"359,839",978
Andaman & Nicobar Islands,2018,3,Recharge & bill payments,"8,636","4,343,505",503
Andaman & Nicobar Islands,2018,3,Peer-to-peer payments,"6,448","49,270,782","7,641"
Andaman & Nicobar Islands,2018,3,Merchant payments,945,"1,627,360","1,722"
Andaman & Nicobar Islands,2018,3,Financial Services,42,"1,481",35
Andaman & Nicobar Islands,2018,3,Others,194,"314,343","1,620"
Andaman & Nicobar Islands,2018,4,Recharge & bill payments,"11,517","5,450,550",473
Andaman & Nicobar Islands,2018,4,Peer-to-peer payments,"10,451","81,001,457","7,751"
Andaman & Nicobar Islands,2018,4,Merchant payments,"1,421","3,552,028","2,500"
Andaman & Nicobar Islands,2018,4,Financial Services,29,"76,036","2,622"
Andaman & Nicobar Islands,2018,4,Others,340,"468,266","1,377"
Andaman & Nicobar Islands,2019,1,Recharge & bill payments,"15,263","6,611,460",433
Andaman & Nicobar Islands,2019,1,Peer-to-peer payments,"13,119","91,808,346","6,998"
Andaman & Nicobar Islands,2019,1,Merchant payments,"1,759","3,266,590","1,857"
Andaman & Nicobar Islands,2019,1,Financial Services,62,"116,250","1,875"
Andaman & Nicobar Islands,2019,1,Others,283,"497,095","1,757"
Andaman & Nicobar Islands,2019,2,Recharge & bill payments,"14,676","7,242,448",493
Andaman & Nicobar Islands,2019,2,Peer-to-peer payments,"14,481","107,525,359","7,425"
Andaman & Nicobar Islands,2019,2,Merchant payments,"4,031","4,702,153","1,166"
Andaman & Nicobar Islands,2019,2,Financial Services,124,"113,279",914
Andaman & Nicobar Islands,2019,2,Others,377,"671,471","1,781"
